X,Y,FID,UML_ID,Group_Name,Parent_Com,Mill_Name,RSPO_Statu,RSPO_Type,Date,Latitude,Longitude,GPS_coordi,GPS_coor_1,GPS_coor_2,ISO,Country,Province,District,Confidence,Alternativ
11709673.9707709,-428416.14002262,1865,PO1000010041,UNKNOWN,SUMBER WANGI ALAM,SUMBER WANGI ALAM,Not RSPO Certified, ,2021/07/14 00:00:00+00,-3.845637,105.189791,"-3.845637, 105.189791",105.189791,-3.845637,IDN,Indonesia,Sumatera Selatan,Ogan Komering Ilir,1-Fully Verified, 
11477679.5878586,-352951.020868956,1866,PO1000010042,UNKNOWN,SELATAN AGUNG SEJAHTERA,SELATAN AGUNG SEJAHTERA,Not RSPO Certified, ,2021/07/14 00:00:00+00,-3.168996,103.10575,"-3.168996, 103.10575",103.10575,-3.168996,IDN,Indonesia,Sumatera Selatan,Musi Rawas,1-Fully Verified, 
12472298.9779491,-232919.882650221,1867,PO1000010043,BEST INDUSTRY,BANGUN JAYA ALAM PERMAI,BANGUN JAYA ALAM PERMAI PKS 2,Not RSPO Certified, ,2021/07/14 00:00:00+00,-2.09189,112.040568,"-2.091890, 112.040568",112.040568,-2.09189,IDN,Indonesia,Kalimantan Tengah,Seruyan,1-Fully Verified, 
11681894.8597604,-541738.177351473,1868,PO1000010044,UNKNOWN,JAYA AGRO MANDIRI,JAYA AGRO MANDIRI,Not RSPO Certified, ,2021/07/14 00:00:00+00,-4.860676,104.940247,"-4.860676, 104.940247",104.940247,-4.860676,IDN,Indonesia,Lampung,Lampung Utara,1-Fully Verified, 
11460127.5097867,-181265.885518127,1869,PO1000010045,DARMEX AGRO,DELIMUDA PERKASA,DELIMUDA PERKASA,Not RSPO Certified, ,2021/07/14 00:00:00+00,-1.62812,102.948077,"-1.628120, 102.948077",102.948077,-1.62812,IDN,Indonesia,Jambi,Batang Hari,1-Fully Verified, 
13068198.1120985,-39088.6367243601,1870,PO1000010046,GAMA PLANTATIONS,SAWIT UNGGUL AGRO NIAGA,SAWIT UNGGUL AGRO NIAGA,Not RSPO Certified, ,2021/07/14 00:00:00+00,-0.351137,117.393621,"-0.351137, 117.393621",117.393621,-0.351137,IDN,Indonesia,Kalimantan Timur,Kutai Kartanegara,1-Fully Verified, 
12501866.8818572,-261170.705146584,1871,PO1000010047,UNKNOWN,AGRINDO SAWIT MANDIRI,AGRINDO SAWIT MANDIRI,Not RSPO Certified, ,2021/07/14 00:00:00+00,-2.345481,112.306181,"-2.345481, 112.306181",112.306181,-2.345481,IDN,Indonesia,Kalimantan Tengah,Seruyan,1-Fully Verified, 
11463494.1451468,27323.0073061236,1872,PO1000010048,GAMA PLANTATIONS,TH INDO PLANTATIONS,RAMIN,Not RSPO Certified, ,2021/07/14 00:00:00+00,0.245446,102.97832,"0.245446, 102.978320",102.97832,0.245446,IDN,Indonesia,Riau,Indragiri Hilir,1-Fully Verified, 
13295060.3325268,-245010.760519974,1873,PO1000010049,WIDYA,MANAKARRA UNGGUL LESTARI,LELING,Not RSPO Certified, ,2021/07/14 00:00:00+00,-2.200428,119.431559,"-2.200428, 119.431559",119.431559,-2.200428,IDN,Indonesia,Sulawesi Barat,Mamuju,1-Fully Verified, 
12237511.3663739,68280.2270408105,1874,PO1000010050,HPI-AGRO (DJARUM),KAPUAS RIMBA SEJAHTERA,RUAI,Not RSPO Certified, ,2021/07/14 00:00:00+00,0.61336,109.931435,"0.613360, 109.931435",109.931435,0.61336,IDN,Indonesia,Kalimantan Barat,Landak,1-Fully Verified, 
11188501.8296791,74271.1483941336,1875,PO1000010051,UNKNOWN,LUBUK BENDAHARA PALMA INDUSTRI,LUBUK BENDAHARA PALMA INDUSTRI,Not RSPO Certified, ,2021/07/14 00:00:00+00,0.667174,100.508022,"0.667174, 100.508022",100.508022,0.667174,IDN,Indonesia,Riau,Rokan Hulu,1-Fully Verified, 
11372480.1087106,-190066.52508065,1876,PO1000010052,UNKNOWN,PRIMA MAS LESTARI,PRIMA MAS LESTARI,Not RSPO Certified, ,2021/07/14 00:00:00+00,-1.707144,102.160727,"-1.707144, 102.160727",102.160727,-1.707144,IDN,Indonesia,Jambi,Bungo,1-Fully Verified, 
